comparison,metric,mean_diff,ci_low,ci_high,n_pairs,block_size
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,turnover_adjusted_net_return,-0.0150334264569385,-0.018906720199919,-0.0108884063210708,35,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,locked_cumulative_return,-0.0193066675835665,-0.0243681657045006,-0.0134522893446703,35,5
TASE Typed Portfolio Harness Reconstruction - Same-Budget Safe Configuration Search,locked_sharpe,-0.0121785947677458,-0.0160300949976246,-0.0077470330600044,35,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,cvar_95,-0.0050092426251859,-0.008201101567625,-0.0016959830854715,35,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,drawdown_duration,-116.85714285714286,-186.86928571428567,-28.47214285714293,35,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,turnover,0.0314211530833962,0.0122241820323376,0.0480452329945379,35,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,transaction_cost_paid,0.0176842373981922,0.006374423073042,0.0274206767371726,35,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,constraint_violation_severity,0.0004635682924606,0.0002042838500737,0.0006771031348827,35,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,optimizer_recovery_success_rate,-0.0011544011544011,-0.0138528138528138,0.0115440115440115,35,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,turnover_adjusted_net_return,0.0741423523531178,0.0227789021629965,0.1246542623318105,35,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,locked_cumulative_return,0.0918265897513101,0.0235309455851752,0.1514079932698714,35,5
TASE Typed Portfolio Harness Reconstruction - Random Legal Harness Patch,locked_sharpe,0.239344022929026,-0.001872531084548,0.4556162861392185,35,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,cvar_95,-0.0042439409137999,-0.0050731155690788,-0.0033294709027237,35,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,drawdown_duration,88.14285714285714,51.0,121.2892857142857,35,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,turnover,0.0435190985718257,0.0367093454571065,0.051115086011183,35,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,transaction_cost_paid,0.0252954952552384,0.0208410697718548,0.0303973992745631,35,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,constraint_violation_severity,-0.0547075234946023,-0.054808286492532,-0.0546032027725899,35,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,optimizer_recovery_success_rate,-0.0173160173160173,-0.0207792207792208,-0.0138528138528138,35,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,turnover_adjusted_net_return,-0.1065622803661449,-0.138469332842225,-0.0743165385189877,35,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,locked_cumulative_return,-0.0812667851109065,-0.1167148986868434,-0.0464736988139156,35,5
TASE Typed Portfolio Harness Reconstruction - Risk Parity Fixed Portfolio,locked_sharpe,-0.6955699166434967,-0.8595631169962505,-0.5244950255041134,35,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,cvar_95,0.0035312038774558,0.0030945341147857,0.0039127388606953,35,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,drawdown_duration,87.28571428571429,51.2,119.88714285714283,35,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,turnover,0.0435190985718257,0.0363017429338636,0.0511899926251192,35,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,transaction_cost_paid,0.0252954952552384,0.0207231036756277,0.0299065021590217,35,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,constraint_violation_severity,-0.0002987335997244,-0.0003821543369651,-0.000194082191147,35,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,optimizer_recovery_success_rate,-0.0173160173160173,-0.0207792207792208,-0.0138528138528138,35,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,turnover_adjusted_net_return,-0.1820698722810775,-0.2114233948658146,-0.153841651450608,35,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,locked_cumulative_return,-0.1567743770258391,-0.190652115833831,-0.1232956973516713,35,5
TASE Typed Portfolio Harness Reconstruction - Equal Weight ETF Portfolio,locked_sharpe,-0.5945125552127208,-0.7542156553681857,-0.4205596198969004,35,5
